module	stock_path	compiled_path	stock_vermagic	compiled_vermagic	vermagic_equal	stock_depends	compiled_depends	depends_equal	stock_size	compiled_size	compiled_over_stock	stock_undef	compiled_undef	undef_delta
cqhci.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/cqhci.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mmc/host/cqhci.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mcDrvModule,blocktag	blocktag	no	82136	823392	10.025	44	47	3
dbgtop-drm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/dbgtop-drm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/sda/dbgtop-drm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	22792	308392	13.531	12	14	2
device-apc-common.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/device-apc-common.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/devapc/device-apc-common.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed	aee_aed	yes	99824	598680	5.997	44	48	4
device-apc-mt6879.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/device-apc-mt6879.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/devapc/device-apc-mt6879.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	device-apc-common	device-apc-common	yes	116520	443168	3.803	13	15	2
dsi-panel-mot-csot-vtdr6115-655-fhdp-dphy-vdo-144hz-c7.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/dsi-panel-mot-csot-vtdr6115-655-fhdp-dphy-vdo-144hz-c7.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/panel/dsi-panel-mot-csot-vtdr6115-655-fhdp-dphy-vdo-144hz-c7.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk_panel_ext	mtk_panel_ext	yes	311320	771272	2.477	40	43	3
dsi-panel-mot-dummy-vdo-60hz.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/dsi-panel-mot-dummy-vdo-60hz.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/panel/dsi-panel-mot-dummy-vdo-60hz.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk_panel_ext	mtk_panel_ext	yes	83592	485664	5.810	23	25	2
dsi-panel-mot-tianma-vtdr6115-655-fhdp-dphy-vdo-144hz.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/dsi-panel-mot-tianma-vtdr6115-655-fhdp-dphy-vdo-144hz.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/panel/dsi-panel-mot-tianma-vtdr6115-655-fhdp-dphy-vdo-144hz.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk_panel_ext	mtk_panel_ext	yes	310288	777680	2.506	40	43	3
dsi-panel-mot-tm-vtdr6115-655-fhdp-dphy-vdo-144hz-u8.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/dsi-panel-mot-tm-vtdr6115-655-fhdp-dphy-vdo-144hz-u8.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/panel/dsi-panel-mot-tm-vtdr6115-655-fhdp-dphy-vdo-144hz-u8.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk_panel_ext	mtk_panel_ext	yes	312392	776648	2.486	40	43	3
emi.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/emi.ko	/home/rebelpilot89/manaus-kernel/out/drivers/memory/mediatek/emi.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	emi-mpu	emi-mpu	yes	67336	699560	10.389	40	42	2
emi-mpu-hook-v1.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/emi-mpu-hook-v1.ko	/home/rebelpilot89/manaus-kernel/out/drivers/memory/mediatek/emi-mpu-hook-v1.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	emi-mpu-v2	emi-mpu-v2	yes	11328	150392	13.276	3	4	1
emi-mpu.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/emi-mpu.ko	/home/rebelpilot89/manaus-kernel/out/drivers/memory/mediatek/emi-mpu.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed	aee_aed	yes	43224	360160	8.332	39	39	0
emi-mpu-v2.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/emi-mpu-v2.ko	/home/rebelpilot89/manaus-kernel/out/drivers/memory/mediatek/emi-mpu-v2.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	emi-mpu,aee_aed	emi-mpu,aee_aed	yes	30792	333016	10.815	34	34	0
emi-slb.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/emi-slb.ko	/home/rebelpilot89/manaus-kernel/out/drivers/memory/mediatek/emi-slb.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed	aee_aed	yes	20680	304136	14.707	27	28	1
extcon-mtk-usb.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/extcon-mtk-usb.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/extcon/extcon-mtk-usb.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	tcpc_class	tcpc_class	yes	31944	614544	19.238	48	49	1
extdev_io_class.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/extdev_io_class.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/subpmic/extdev_io_class.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	23400	296928	12.689	26	28	2
fsa4480.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/fsa4480.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/fsa4480/fsa4480.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	17576	302304	17.200	15	16	1
fusb304.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/fusb304.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/typec/mux/fusb304.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mux_switch	mux_switch	yes	15920	285040	17.905	12	12	0
i2c-mt65xx.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/i2c-mt65xx.ko	/home/rebelpilot89/manaus-kernel/out/drivers/i2c/busses/i2c-mt65xx.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	89088	578336	6.492	47	49	2
iommu_debug.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/iommu_debug.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/iommu/iommu_debug.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed	iommu_secure,aee_aed	no	241656	683928	2.830	44	51	7
iommu_secure.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/iommu_secure.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/iommu/iommu_secure.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	54824	371400	6.774	7	8	1
iommu_test.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/iommu_test.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/iommu/iommu_test.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	9440	142720	15.119	0	1	1
irq-dbg.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/irq-dbg.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/sda/irq-dbg.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	14464	278680	19.267	9	9	0
isee.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/isee.ko	/home/rebelpilot89/manaus-kernel/out/drivers/tee/teei/400/isee.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	bootprof	bootprof	yes	376888	7591480	20.143	132	136	4
leds-mtk-disp.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/leds-mtk-disp.ko	/home/rebelpilot89/manaus-kernel/out/drivers/leds/leds-mtk-disp.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	leds-mtk,mediatek-drm,mediatek-drm-gateic,mtk_panel_ext	leds-mtk,mtk_panel_ext,mediatek-drm	no	19016	309336	16.267	19	19	0
leds-mtk.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/leds-mtk.ko	/home/rebelpilot89/manaus-kernel/out/drivers/leds/leds-mtk.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	35936	314184	8.743	30	26	-4
leds-mtk-pwm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/leds-mtk-pwm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/leds/leds-mtk-pwm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	leds-mtk,mediatek-drm	leds-mtk	no	16536	285672	17.276	14	14	0
load_track.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/load_track.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/performance/load_track/load_track.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	22328	197312	8.837	23	24	1
log_store.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/log_store.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/log_store/log_store.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	41216	432320	10.489	40	41	1
mac80211.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mac80211.ko	/home/rebelpilot89/manaus-kernel/out/net/mac80211/mac80211.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	cfg80211	cfg80211	yes	2096232	64717944	30.873	310	327	17
mcDrvModule.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mcDrvModule.ko	/home/rebelpilot89/manaus-kernel/out/drivers/tee/gud/610/MobiCoreDriver/mcDrvModule.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	397792	7283792	18.311	135	142	7
mdp_drv_mt6879.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mdp_drv_mt6879.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mdp/mdp_drv_mt6879.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-icc-core,iommu_debug,mtk-cmdq-drv-ext,mmprofile,cmdq_helper_inf,mtk-smi,mtk-smi-dbg,aee_aed	mtk-icc-core,iommu_debug,mtk-cmdq-drv-ext,mmprofile,cmdq_helper_inf,mtk-smi,mtk-smi-dbg,aee_aed	yes	923456	8079528	8.749	221	226	5
mediatek-cpufreq-hw.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mediatek-cpufreq-hw.ko	/home/rebelpilot89/manaus-kernel/out/drivers/cpufreq/mediatek-cpufreq-hw.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	28360	328112	11.570	35	39	4
mediatek-drm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mediatek-drm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/mediatek/mediatek_v2/mediatek-drm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-cmdq-drv-ext,mmqos-common,mtk-icc-core,cmdq_helper_inf,mmprofile,mtk-mml,mrdump,clk-common,mtk_sync,mtk_disp_notify,mtk_panel_ext,iommu_debug,mtk-smi,mtk_slbc,mtk-smi-dbg,aee_aed,leds-mtk,clkbuf	mtk-cmdq-drv-ext,mmqos-common,mtk-icc-core,mmprofile,mtk-mml,mrdump,mtk_sync,mtk_disp_notify,mtk_panel_ext,iommu_debug,mtk-smi,mtk_slbc,mtk-smi-dbg,aee_aed,leds-mtk,clkbuf	no	5863152	72305912	12.332	491	501	10
meta.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/meta.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/usb_meta/meta.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	bootprof	bootprof	yes	72168	463808	6.427	71	76	5
mkp.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mkp.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mkp/mkp.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	109336	1008464	9.224	82	81	-1
mmprofile.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mmprofile.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mmp/src/mmprofile.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed	aee_aed	yes	145544	763752	5.248	43	47	4
mmqos-common.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mmqos-common.ko	/home/rebelpilot89/manaus-kernel/out/drivers/interconnect/mediatek/mmqos-common.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-mmdvfs-debug,mtk-smi,mtk-mmdvfs,mtk-icc-core,mtk_dramc	mtk-mmdvfs-debug,mtk-smi,mtk-mmdvfs,mtk-icc-core,mtk_dramc	yes	56944	758944	13.328	69	74	5
mmqos-mt6879.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mmqos-mt6879.ko	/home/rebelpilot89/manaus-kernel/out/drivers/interconnect/mediatek/mmqos-mt6879.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mmqos-common	mmqos-common	yes	35800	301728	8.428	4	5	1
monitor_hang.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/monitor_hang.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/monitor_hang/monitor_hang.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mrdump	mrdump	yes	75904	516400	6.803	68	61	-7
moto_chg_tcmd.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/moto_chg_tcmd.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/moto_chg_tcmd.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	64808	435120	6.714	20	22	2
moto_wlc_alg.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/moto_wlc_alg.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/moto_wlc_alg.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class,mtk_charger_algorithm_class,mtk_charger_framework	charger_class,mtk_charger_algorithm_class,mtk_charger_framework	yes	64176	1497224	23.330	46	49	3
mrdump.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mrdump.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/aee/mrdump/mrdump.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	340360	1839104	5.403	92	102	10
mt6315-regulator.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6315-regulator.ko	/home/rebelpilot89/manaus-kernel/out/drivers/regulator/mt6315-regulator.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	24608	394568	16.034	22	24	2
mt6363-regulator.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6363-regulator.ko	/home/rebelpilot89/manaus-kernel/out/drivers/regulator/mt6363-regulator.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	52440	420352	8.016	34	34	0
mt6368-regulator.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6368-regulator.ko	/home/rebelpilot89/manaus-kernel/out/drivers/regulator/mt6368-regulator.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	42088	406160	9.650	35	35	0
